timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716867645146,1372,University of Wyoming - Sonde Page,503,Service Unavailable,Main Group 1-3,text,false,,267,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1400&TO=912&STNM=94866,1357,0,632
1716867643691,4805,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,19268,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2700&TO=2812&STNM=60390,4805,0,638
1716867646975,1624,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,20331,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2200&TO=1612&STNM=72440,1621,0,639
1716867647851,1433,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,10876,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1900&TO=1812&STNM=94866,1433,0,634
1716867648454,1661,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,13469,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1200&TO=1012&STNM=72672,1661,0,608
1716867651053,1195,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,9253,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1500&TO=712&STNM=60390,1195,0,647
1716867652477,1345,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,7515,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2000&TO=512&STNM=26477,1345,0,617
1716867652587,1480,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,20331,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2200&TO=1512&STNM=72440,1479,0,641
1716867654648,4637,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,9802,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=200&TO=212&STNM=93112,4637,0,623
1716867652587,7910,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,400273,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=300&TO=2212&STNM=94866,7319,0,629
1716867660178,2842,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,3625,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=500&TO=212&STNM=26477,2842,0,658
1716867661760,1327,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,1182,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2000&TO=1112&STNM=93112,1327,0,598
1716867659991,4424,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,265059,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1700&TO=2612&STNM=72672,3868,0,663
1716867665012,1396,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,9876,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1700&TO=1312&STNM=60390,1396,0,633
1716867667662,1130,University of Wyoming - Sonde Page,400,Bad Request,Main Group 1-4,text,false,,204,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1500&TO=012&STNM=60390,1125,0,658
1716867667741,2635,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,36644,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1100&TO=1312&STNM=26477,2630,0,645
